month,visits_or_requests,top_pages_summary,top_geo_summary,device_summary,notes
2024-02,unavailable,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),"source=unavailable; zone ""25b082bdadbb0541c0f34c2bf0d21cc4"" cannot request data older than 31539600s; host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable"
2024-03,unavailable,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),"source=unavailable; zone ""25b082bdadbb0541c0f34c2bf0d21cc4"" cannot request data older than 31539600s; host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable"
2024-04,unavailable,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),"source=unavailable; zone ""25b082bdadbb0541c0f34c2bf0d21cc4"" cannot request data older than 31539600s; host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable"
2024-05,unavailable,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),"source=unavailable; zone ""25b082bdadbb0541c0f34c2bf0d21cc4"" cannot request data older than 31539600s; host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable"
2024-06,unavailable,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),"source=unavailable; zone ""25b082bdadbb0541c0f34c2bf0d21cc4"" cannot request data older than 31539600s; host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable"
2024-07,unavailable,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),"source=unavailable; zone ""25b082bdadbb0541c0f34c2bf0d21cc4"" cannot request data older than 31539600s; host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable"
2024-08,unavailable,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),"source=unavailable; zone ""25b082bdadbb0541c0f34c2bf0d21cc4"" cannot request data older than 31539600s; host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable"
2024-09,unavailable,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),"source=unavailable; zone ""25b082bdadbb0541c0f34c2bf0d21cc4"" cannot request data older than 31539600s; host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable"
2024-10,unavailable,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),"source=unavailable; zone ""25b082bdadbb0541c0f34c2bf0d21cc4"" cannot request data older than 31539600s; host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable"
2024-11,unavailable,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),"source=unavailable; zone ""25b082bdadbb0541c0f34c2bf0d21cc4"" cannot request data older than 31539600s; host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable"
2024-12,unavailable,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),"source=unavailable; zone ""25b082bdadbb0541c0f34c2bf0d21cc4"" cannot request data older than 31539600s; host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable"
2025-01,unavailable,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),"source=unavailable; zone ""25b082bdadbb0541c0f34c2bf0d21cc4"" cannot request data older than 31539600s; host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable"
2025-02,unavailable,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),"source=unavailable; zone ""25b082bdadbb0541c0f34c2bf0d21cc4"" cannot request data older than 31539600s; host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable"
2025-03,0,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),source=httpRequests1dGroups(sum.requests); host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable
2025-04,59517,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),source=httpRequests1dGroups(sum.requests); host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable
2025-05,186375,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),source=httpRequests1dGroups(sum.requests); host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable
2025-06,178931,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),source=httpRequests1dGroups(sum.requests); host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable
2025-07,193045,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),source=httpRequests1dGroups(sum.requests); host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable
2025-08,166471,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),source=httpRequests1dGroups(sum.requests); host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable
2025-09,127495,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),source=httpRequests1dGroups(sum.requests); host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable
2025-10,139752,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),source=httpRequests1dGroups(sum.requests); host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable
2025-11,107349,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),source=httpRequests1dGroups(sum.requests); host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable
2025-12,155296,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),source=httpRequests1dGroups(sum.requests); host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable
2026-01,137729,unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),unavailable (GraphQL access limits for historical per-dimension breakdown),source=httpRequests1dGroups(sum.requests); host-filter-not-applied(hostel-positano.com); top-breakdowns=unavailable
